id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"SLA xử lý ticket P1 đã được cập nhật ở phần resolution: từ **6 giờ** xuống còn **4 giờ** trong phiên bản v2026.1 ngày 2026-01-15. [1]

Ngoài ra, tài liệu hiện tại cũng nêu SLA cho ticket P1 là:
- Phản hồi ban đầu: **15 phút** [3]
- Xử lý và khắc phục: **4 giờ** [3]
- Escalation tự động lên Senior Engineer nếu không có phản hồi trong **10 phút** [3]
- Thông báo stakeholder ngay khi nhận ticket và cập nhật mỗi **30 phút** cho đến khi resolve [3]","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,,2,,5,Retrieved: 1/1 expected sources,5,,variant_hybrid
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải dùng VPN khi làm việc với hệ thống nội bộ, và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc. [2][1]","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,,5,,5,Retrieved: 2/2 expected sources,5,,variant_hybrid
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Tôi không tìm thấy thông tin chính xác về trường hợp đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không trong các tài liệu hiện có. Tuy nhiên, tài liệu có nêu rõ đây là các ngoại lệ không được hoàn tiền: đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt hoặc đăng ký tài khoản.[1]

Nếu bạn cần xác nhận áp dụng cho một đơn hàng cụ thể, vui lòng liên hệ bộ phận liên quan để được kiểm tra thêm.",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,,5,,5,Retrieved: 1/1 expected sources,5,,variant_hybrid
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận **110% so với số tiền hoàn**. [1]","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,,5,,5,Retrieved: 1/1 expected sources,5,,variant_hybrid
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Tôi không tìm thấy thông tin chính xác về việc contractor từ bên ngoài công ty có thể được cấp quyền Admin Access hay không, cũng như cần bao nhiêu ngày và có yêu cầu đặc biệt gì trong các tài liệu hiện có. Tài liệu chỉ nêu rằng quy trình cấp phép truy cập áp dụng cho tất cả nhân viên, contractor, và third-party vendor, nhưng không có chi tiết riêng cho Admin Access của contractor. [3]

Nếu bạn cần xác nhận chính sách cụ thể cho trường hợp này, vui lòng liên hệ IT Admin hoặc IT Security.","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,,5,,5,Retrieved: 1/1 expected sources,1,,variant_hybrid
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Khi xảy ra sự cố P1 và cần cấp quyền tạm thời để xử lý incident, quy trình escalation khẩn cấp là: On-call IT Admin có thể cấp quyền tạm thời sau khi được Tech Lead phê duyệt bằng lời. Quyền tạm thời này tối đa 24 giờ; sau 24 giờ phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. [1]

Ngoài ra, với sự cố P1, on-call engineer cần xác nhận severity trong 5 phút, thông báo ngay lập tức tới Slack #incident-p1 và email incident@company.internal, và nếu cần hỗ trợ thêm thì escalate ngay. [2]","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,,5,,5,Retrieved: 2/2 expected sources,5,,variant_hybrid
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không tìm thấy thông tin chính xác về mức phạt nếu team IT vi phạm cam kết SLA P1 trong các tài liệu hiện có. Bạn có thể liên hệ bộ phận IT Helpdesk hoặc bộ phận liên quan để được xác nhận thêm.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,,5,,,No expected sources,5,,variant_hybrid
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải gửi yêu cầu nghỉ phép qua HR Portal **ít nhất 3 ngày làm việc trước ngày nghỉ**.[2]

Con số này **không giống** với yêu cầu khi nghỉ ốm: nếu nghỉ ốm **trên 3 ngày liên tiếp** thì cần **giấy tờ y tế từ bệnh viện**.[1]

Nếu bạn muốn, tôi có thể tóm tắt thêm toàn bộ quy trình xin nghỉ phép theo tài liệu này.[2]",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,1,,5,,5,Retrieved: 1/1 expected sources,5,,variant_hybrid
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có. Mật khẩu phải được thay đổi mỗi 90 ngày, và hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Bạn có thể tự reset qua portal SSO tại https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000. [1]","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,,5,,5,Retrieved: 1/1 expected sources,5,,variant_hybrid
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Không. Chính sách hoàn tiền này chỉ áp dụng cho tất cả các đơn hàng được đặt trên hệ thống nội bộ kể từ ngày 01/02/2026; các đơn hàng đặt trước ngày có hiệu lực sẽ áp dụng theo chính sách hoàn tiền phiên bản 3. [1],Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,,5,,5,Retrieved: 1/1 expected sources,5,,variant_hybrid
